seat_no,prn,centre,total_gradepoints,sgpi,status,year_of_admission,clg_id,gender
5018251,2020016402201656,Kalyan,148.0,6.73,Successful ,2020,1118,M
5018252,2020016402201803,Kalyan,145.0,6.59,Successful ,2020,1118,M
5018253,2020016402201915,Kalyan,0.0,0.0,Unsuccessful ,2020,1118,M
5018254,2020016402201706,Kalyan,0.0,0.0,Unsuccessful ,2020,1118,M
5018255,2020016402201664,Kalyan,0.0,0.0,Unsuccessful ,2020,1118,M
5018256,2020016402202114,Kalyan,0.0,0.0,Unsuccessful ,2020,1118,M
5018257,2020016402202072,Kalyan,0.0,0.0,Unsuccessful ,2020,1118,M
5018258,2020016402201722,Kalyan,0.0,0.0,Unsuccessful ,2020,1118,M
5018259,2020016402201633,Kalyan,164.0,7.45,Successful ,2020,1118,M
5018260,2020016402201896,Kalyan,172.0,7.82,Successful ,2020,1118,F
5018261,2020016402201641,Kalyan,158.0,7.18,Successful ,2020,1118,M
5018262,2020016402201907,Kalyan,160.0,7.27,Successful ,2020,1118,M
5018263,2020016402201687,Kalyan,0.0,0.0,Unsuccessful ,2020,1118,M
5018264,2020016402201761,Kalyan,152.0,6.91,Successful ,2020,1118,M
5018265,2019016402365624,Kalyan,160.0,7.27,Successful ,2019,1118,M
5018266,2020016402201792,Kalyan,148.0,6.73,Successful ,2020,1118,M
5018267,2020016402201923,Kalyan,160.0,7.27,Successful ,2020,1118,M
5018268,2020016402201865,Kalyan,160.0,7.27,Successful ,2020,1118,M
5018269,2020016402202106,Kalyan,177.0,8.05,Successful ,2020,1118,F
5018270,2020016402201737,Kalyan,187.0,8.5,Successful ,2020,1118,M
5018271,2020016402201714,Kalyan,163.0,7.41,Successful ,2020,1118,M
5018272,2020016402201776,Kalyan,156.0,7.09,Successful ,2020,1118,M
5018273,2020016402201811,Kalyan,168.0,7.64,Successful ,2020,1118,F
5018274,2020016402201977,Kalyan,162.0,7.36,Successful ,2020,1118,M
5018275,2020016402201985,Kalyan,162.0,7.36,Successful ,2020,1118,F
5018276,2020016402201842,Kalyan,166.0,7.55,Successful ,2020,1118,F
5018277,2020016402278656,Kalyan,160.0,7.27,Successful ,2020,1118,M
5018278,2020016402201881,Kalyan,0.0,0.0,Unsuccessful ,2020,1118,M
5018494,2020016402066904,Panvel,181.0,8.23,Successful ,2020,116,M
5018495,2020016402066243,Panvel,163.0,7.41,Successful ,2020,116,M
5018496,2020016402067215,Panvel,151.0,6.86,Successful ,2020,116,F
5018497,2020016402066726,Panvel,217.0,9.86,Successful ,2020,116,F
5018498,2020016402066413,Panvel,211.0,9.59,Successful ,2020,116,M
5018499,2020016402066912,Panvel,166.0,7.55,Successful ,2020,116,F
5018500,2019016402159931,Panvel,199.0,9.05,Successful ,2019,116,F
5018501,2018016400825844,Panvel,175.0,7.95,Successful ,2018,116,M
5018502,2020016402067207,Panvel,181.0,8.23,Successful ,2020,116,M
5018503,2019016402159834,Panvel,202.0,9.18,Successful ,2019,116,M
5018504,2019016402159865,Panvel,169.0,7.68,Successful ,2019,116,F
5018505,2020016402066081,Panvel,169.0,7.68,Successful ,2020,116,M
5018506,2020016402066073,Panvel,149.0,6.77,Successful ,2020,116,M
5018507,2020016402067617,Panvel,0.0,0.0,Unsuccessful ,2020,116,M
5018508,2020016402067293,Panvel,172.0,7.82,Successful ,2020,116,M
5018509,2020016402066676,Panvel,148.0,6.73,Successful ,2020,116,M
5018510,2020016402067142,Panvel,176.0,8.0,Successful ,2020,116,F
5018511,2020016402066614,Panvel,0.0,0.0,Unsuccessful ,2020,116,M
5018512,2020016402067037,Panvel,166.0,7.55,Successful ,2020,116,M
5018513,2019016402159857,Panvel,193.0,8.77,Successful ,2019,116,M
5018514,2019016402159923,Panvel,0.0,0.0,Unsuccessful ,2019,116,M
5018515,2020016402066765,Panvel,152.0,6.91,Successful ,2020,116,F
5018516,2019016402159826,Panvel,163.0,7.41,Successful ,2019,116,M
5018517,2020016402066421,Panvel,160.0,7.27,Successful ,2020,116,F
5018518,2020016402062817,Panvel,0.0,0.0,Unsuccessful ,2020,116,F
5018519,2020016402067397,Panvel,151.0,6.86,Successful ,2020,116,F
5018520,2020016402066517,Panvel,187.0,8.5,Successful ,2020,116,M
5018521,2019016402159946,Panvel,0.0,0.0,Unsuccessful ,2019,116,M
5018522,2020016402066185,Panvel,154.0,7.0,Successful ,2020,116,M
5018523,2020016402066282,Panvel,178.0,8.09,Successful ,2020,116,F
5018524,2020016402066204,Panvel,178.0,8.09,Successful ,2020,116,M
5018525,2020016402066212,Panvel,136.0,6.18,Successful ,2020,116,M
5018526,2020016402066622,Panvel,0.0,0.0,Unsuccessful ,2020,116,M
5018527,2020016402066251,Panvel,160.0,7.27,Successful ,2020,116,M
5018528,2020016402066146,Panvel,175.0,7.95,Successful ,2020,116,F
5018529,2020016402062396,Panvel,172.0,7.82,Successful ,2020,116,M
5018530,2020016402066846,Panvel,169.0,7.68,Successful ,2020,116,F
5018531,2020016402066177,Panvel,0.0,0.0,Unsuccessful ,2020,116,M
5018532,2020016402066637,Panvel,193.0,8.77,Successful ,2020,116,F
5018533,2020016402067382,Panvel,141.0,6.41,Successful ,2020,116,F
5018534,2020016402066274,Panvel,162.0,7.36,Successful ,2020,116,M
5018535,2020016402066227,Panvel,0.0,0.0,Unsuccessful ,2020,116,M
5018536,2020016402066123,Panvel,132.0,6.0,Successful ,2020,116,M
5018537,2019016402159842,Panvel,166.0,7.55,Successful ,2019,116,M
5018538,2019016402160002,Panvel,151.0,6.86,Successful ,2019,116,M
5018539,2020016402066862,Panvel,0.0,0.0,Unsuccessful ,2020,116,M
5018540,2020016402066943,Panvel,0.0,0.0,Unsuccessful ,2020,116,F
5018541,2020016402066131,Panvel,172.0,7.82,Successful ,2020,116,M
5018542,2020016402066316,Panvel,0.0,0.0,Unsuccessful ,2020,116,M
5018543,2020016402066107,Panvel,186.0,8.45,Successful ,2020,116,M
5018544,2020016402066115,Panvel,175.0,7.95,Successful ,2020,116,F
5018545,2020016402066266,Panvel,0.0,0.0,Unsuccessful ,2020,116,M
5018546,2019016402159811,Panvel,181.0,8.23,Successful ,2019,116,M
5018547,2018016400825964,Panvel,0.0,0.0,Unsuccessful ,2018,116,M
5018548,2020016402066235,Panvel,181.0,8.23,Successful ,2020,116,M
5018549,2020016402067173,Panvel,157.0,7.14,Successful ,2020,116,M
5018550,2019016402159993,Panvel,190.0,8.64,Successful ,2019,116,M
5018551,2020016402066297,Panvel,0.0,0.0,Unsuccessful ,2020,116,M
5018552,2020016402066661,Panvel,187.0,8.5,Successful ,2020,116,M
5018553,2020016402066057,Panvel,178.0,8.09,Successful ,2020,116,F
5018554,2020016402066773,Panvel,0.0,0.0,Unsuccessful ,2020,116,M
5018555,2020016402066193,Panvel,154.0,7.0,Successful ,2020,116,M
5018556,2020016402066065,Panvel,0.0,0.0,Unsuccessful ,2020,116,M
5018557,2020016402066096,Panvel,166.0,7.55,Successful ,2020,116,M
5018558,2020016402066815,Panvel,169.0,7.68,Successful ,2020,116,F
5018559,2019016402159896,Panvel,157.0,7.14,Successful ,2019,116,M
5018560,2019016402159907,Panvel,190.0,8.64,Successful ,2019,116,F
5018561,2019016402159985,Panvel,0.0,0.0,Unsuccessful ,2019,116,M
5235215,2020016402067006,Panvel,0.0,0.0,RR ,2020,116,F
5018562,2020016402147773,Panvel,0.0,0.0,Unsuccessful ,2020,124,M
5018563,2020016402148424,Panvel,0.0,0.0,Unsuccessful ,2020,124,M
5018564,2019016402189616,Panvel,172.0,7.82,Successful ,2019,124,F
5018565,2019016402189446,Panvel,181.0,8.23,Successful ,2019,124,F
5018566,2020016402153031,Panvel,0.0,0.0,Unsuccessful ,2020,124,M
5018567,2019016402188427,Panvel,0.0,0.0,Unsuccessful ,2019,124,M
5018568,2019016402189705,Panvel,158.0,7.18,Successful ,2019,124,M
5018569,2018016401933125,Panvel,148.0,6.73,Successful ,2018,124,M
5018570,2019016402189504,Panvel,160.0,7.27,Successful ,2019,124,M
5018571,2019016402189744,Panvel,169.0,7.68,Successful ,2019,124,M
5018572,2020016402148231,Panvel,160.0,7.27,Successful ,2020,124,M
5018573,2019016402188814,Panvel,142.0,6.45,Successful ,2019,124,F
5018574,2019016402557082,Panvel,178.0,8.09,Successful ,2019,124,M
5018575,2020016402147982,Panvel,0.0,0.0,Unsuccessful ,2020,124,F
5018576,2020016402149315,Panvel,154.0,7.0,Successful ,2020,124,M
5018577,2020016402154115,Panvel,147.0,6.68,Successful ,2020,124,F
5018578,2020016402149404,Panvel,180.0,8.18,Successful ,2020,124,F
5018579,2020016402148803,Panvel,170.0,7.73,Successful ,2020,124,M
5018580,2019016402189597,Panvel,181.0,8.23,Successful ,2019,124,M
5018581,2020016402149346,Panvel,170.0,7.73,Successful ,2020,124,M
5018582,2018016401932427,Panvel,0.0,0.0,Unsuccessful ,2018,124,M
5018583,2020016402149137,Panvel,177.0,8.05,Successful ,2020,124,M
5018584,2019016402188482,Panvel,181.0,8.23,Successful ,2019,124,M
5018585,2019016402188772,Panvel,153.0,6.95,Successful ,2019,124,F
5018586,2020016402148826,Panvel,134.0,6.09,Successful ,2020,124,M
5018587,2020016402152646,Panvel,185.0,8.41,Successful ,2020,124,F
5018588,2019016402188497,Panvel,165.0,7.5,Successful ,2019,124,M
5018589,2018016401934585,Panvel,163.0,7.41,Successful ,2018,124,M
5018590,2019016402189493,Panvel,185.0,8.41,Successful ,2019,124,M
5018591,2018016401933624,Panvel,0.0,0.0,Unsuccessful ,2018,124,M
5018592,2020016402149211,Panvel,0.0,0.0,Unsuccessful ,2020,124,M
5018593,2018016402596724,Panvel,175.0,7.95,Successful ,2018,124,M
5018594,2020016402148753,Panvel,0.0,0.0,Unsuccessful ,2020,124,F
5018595,2020016402148463,Panvel,148.0,6.73,Successful ,2020,124,M
5018596,2019016402188466,Panvel,166.0,7.55,Successful ,2019,124,M
5018597,2020016402152333,Panvel,181.0,8.23,Successful ,2020,124,F
5018598,2020016402148977,Panvel,174.0,7.91,Successful ,2020,124,F
5018599,2020016402147927,Panvel,144.0,6.55,Successful ,2020,124,M
5018600,2019016402189632,Panvel,187.0,8.5,Successful ,2019,124,F
5018601,2020016402152631,Panvel,146.0,6.64,Successful ,2020,124,F
5018602,2020016402149636,Panvel,156.0,7.09,Successful ,2020,124,F
5018603,2019016402189512,Panvel,187.0,8.5,Successful ,2019,124,F
5018604,2019016402188822,Panvel,181.0,8.23,Successful ,2019,124,M
5018605,2020016402148761,Panvel,0.0,0.0,Unsuccessful ,2020,124,F
5018606,2019016402189694,Panvel,192.0,8.73,Successful ,2019,124,F
5018607,2018016401931811,Panvel,168.0,7.64,Successful ,2018,124,M
5018608,2019016402557097,Panvel,173.0,7.86,Successful ,2019,124,M
5018609,2018016401380247,Panvel,181.0,8.23,Successful ,2018,124,M
5018610,2018016401933922,Panvel,0.0,0.0,Unsuccessful ,2018,124,M
5018611,2020016402152816,Panvel,160.0,7.27,Successful ,2020,124,F
5018612,2019016402189381,Panvel,163.0,7.41,Successful ,2019,124,F
5018613,2019016402189551,Panvel,187.0,8.5,Successful ,2019,124,F
5018614,2019016402189067,Panvel,163.0,7.41,Successful ,2019,124,M
5018615,2020016402148896,Panvel,205.0,9.32,Successful ,2020,124,F
5018616,2018016401647636,Panvel,159.0,7.23,Successful ,2018,124,M
5018617,2020016402148993,Panvel,163.0,7.41,Successful ,2020,124,F
5018618,2020016402148672,Panvel,0.0,0.0,Unsuccessful ,2020,124,M
5018619,2019016402188876,Panvel,198.0,9.0,Successful ,2019,124,F
5018620,2019016402189624,Panvel,199.0,9.05,Successful ,2019,124,F
5018621,2020016402149176,Panvel,162.0,7.36,Successful ,2020,124,M
5018622,2020016402149095,Panvel,168.0,7.64,Successful ,2020,124,M
5018623,2019016402189431,Panvel,166.0,7.55,Successful ,2019,124,M
5018624,2019016402188362,Panvel,0.0,0.0,Unsuccessful ,2019,124,M
5018625,2020016402149702,Panvel,0.0,0.0,Unsuccessful ,2020,124,M
5018626,2019016402188393,Panvel,166.0,7.55,Successful ,2019,124,M
5018627,2019016402189736,Panvel,138.0,6.27,Successful ,2019,124,M
5018628,2017016402630544,Panvel,0.0,0.0,Unsuccessful ,2017,124,F
5018629,2019016402189535,Panvel,141.0,6.41,Successful ,2019,124,M
5018630,2020016402147815,Panvel,0.0,0.0,Unsuccessful ,2020,124,M
5018631,2019016402189527,Panvel,173.0,7.86,Successful ,2019,124,F
5018632,2020016402149756,Panvel,171.0,7.77,Successful ,2020,124,M
5018633,2019016402188613,Panvel,169.0,7.68,Successful ,2019,124,F
5018634,2019016402189713,Panvel,152.0,6.91,Successful ,2019,124,M
5018635,2019016402189423,Panvel,0.0,0.0,Unsuccessful ,2019,124,M
5018636,2020016402148881,Panvel,164.0,7.45,Successful ,2020,124,M
5018637,2020016402152596,Panvel,161.0,7.32,Successful ,2020,124,M
5018638,2019016402188957,Panvel,187.0,8.5,Successful ,2019,124,M
5018639,2019016402188861,Panvel,0.0,0.0,Unsuccessful ,2019,124,M
5018640,2020016402148923,Panvel,166.0,7.55,Successful ,2020,124,F
5018641,2020016402147943,Panvel,163.0,7.41,Successful ,2020,124,M
5018642,2019016402189284,Panvel,202.0,9.18,Successful ,2019,124,F
5018643,2019016402188973,Panvel,162.0,7.36,Successful ,2019,124,M
5018644,2019016402188315,Panvel,178.0,8.09,Successful ,2019,124,M
5018645,2020016402148931,Panvel,169.0,7.68,Successful ,2020,124,F
5018646,2019016402189005,Panvel,164.0,7.45,Successful ,2019,124,M
5018647,2019016402189566,Panvel,181.0,8.23,Successful ,2019,124,F
5018648,2019016402188594,Panvel,152.0,6.91,Successful ,2019,124,M
5018649,2020016402152325,Panvel,168.0,7.64,Successful ,2020,124,M
5018650,2019016402189647,Panvel,166.0,7.55,Successful ,2019,124,F
5018651,2020016402152871,Panvel,152.0,6.91,Successful ,2020,124,M
5018652,2019016402189334,Panvel,173.0,7.86,Successful ,2019,124,M
5018653,2014016400431291,Panvel,151.0,6.86,Successful ,2014,124,M
5018654,2020016402149064,Panvel,181.0,8.23,Successful ,2020,124,M
5018655,2019016402189601,Panvel,177.0,8.05,Successful ,2019,124,F
5018656,2020016402149161,Panvel,151.0,6.86,Successful ,2020,124,F
5018657,2019016402188621,Panvel,166.0,7.55,Successful ,2019,124,M
5018658,2019016402189373,Panvel,204.0,9.27,Successful ,2019,124,M
5018659,2019016402189415,Panvel,199.0,9.05,Successful ,2019,124,F
5018660,2020016402150671,Panvel,0.0,0.0,Unsuccessful ,2020,124,M
5018661,2020016402149586,Panvel,177.0,8.05,Successful ,2020,124,F
5018662,2019016402188926,Panvel,172.0,7.82,Successful ,2019,124,M
5018663,2019016402188555,Panvel,191.0,8.68,Successful ,2019,124,M
5018664,2020016402147807,Panvel,178.0,8.09,Successful ,2020,124,M
