seat_no,prn,centre,total_gradepoints,sgpi,status,year_of_admission,clg_id,gender
5201692,2019016401839072,Mumbai,175.0,7.95,Successful ,2019,356,M
5201693,2019016401838061,Mumbai,0.0,0.0,Unsuccessful ,2019,356,M
5201694,2020016401952446,Mumbai,0.0,0.0,Unsuccessful ,2020,356,F
5201695,2019016401837692,Mumbai,166.0,7.55,Successful ,2019,356,F
5201696,2019016401838714,Mumbai,166.0,7.55,Successful ,2019,356,M
5201697,2019016401837421,Mumbai,166.0,7.55,Successful ,2019,356,M
5201698,2019016401837815,Mumbai,181.0,8.23,Successful ,2019,356,M
5201699,2019016401837204,Mumbai,0.0,0.0,Unsuccessful ,2019,356,M
5201700,2020016401952512,Mumbai,149.0,6.77,Successful ,2020,356,F
5201701,2019016401838946,Mumbai,184.0,8.36,Successful ,2019,356,M
5201702,2019016401838633,Mumbai,184.0,8.36,Successful ,2019,356,M
5201703,2019016401838103,Mumbai,154.0,7.0,Successful ,2019,356,M
5201704,2019016401838486,Mumbai,169.0,7.68,Successful ,2019,356,M
5201705,2019016402224777,Mumbai,145.0,6.59,Successful ,2019,356,M
5201706,2019016401838706,Mumbai,157.0,7.14,Successful ,2019,356,M
5201707,2020016401956606,Mumbai,160.0,7.27,Successful ,2020,356,M
5201708,2019016401838327,Mumbai,167.0,7.59,Successful ,2019,356,M
5201709,2019016401839161,Mumbai,184.0,8.36,Successful ,2019,356,M
5201710,2019016401837057,Mumbai,0.0,0.0,Unsuccessful ,2019,356,M
5201711,2019016401837982,Mumbai,0.0,0.0,Unsuccessful ,2019,356,M
5201712,2019016401838447,Mumbai,157.0,7.14,Successful ,2019,356,M
5201713,2019016401837606,Mumbai,175.0,7.95,Successful ,2019,356,M
5201714,2020016401952156,Mumbai,163.0,7.41,Successful ,2020,356,F
5201715,2020016401956572,Mumbai,175.0,7.95,Successful ,2020,356,M
5201716,2019016401837885,Mumbai,163.0,7.41,Successful ,2019,356,M
5201717,2019016401839203,Mumbai,149.0,6.77,Successful ,2019,356,M
5201718,2019016401838923,Mumbai,152.0,6.91,Successful ,2019,356,F
5201719,2019016401839211,Mumbai,169.0,7.68,Successful ,2019,356,F
5201720,2019016401838022,Mumbai,166.0,7.55,Successful ,2019,356,F
5201721,2019016401837026,Mumbai,184.0,8.36,Successful ,2019,356,M
5201722,2019016401836785,Mumbai,196.0,8.91,Successful ,2019,356,F
5201723,2019016402224665,Mumbai,163.0,7.41,Successful ,2019,356,M
5201724,2019016401839137,Mumbai,172.0,7.82,Successful ,2019,356,M
5201725,2019016401836866,Mumbai,187.0,8.5,Successful ,2019,356,M
5201726,2019016401838761,Mumbai,0.0,0.0,RR ,2019,356,M
5201727,2019016401839087,Mumbai,0.0,0.0,Unsuccessful ,2019,356,M
5201728,2019016401837912,Mumbai,199.0,9.05,Successful ,2019,356,M
5201729,2019016401838142,Mumbai,178.0,8.09,Successful ,2019,356,M
5201730,2019016401839056,Mumbai,166.0,7.55,Successful ,2019,356,F
5201731,2019016401838567,Mumbai,169.0,7.68,Successful ,2019,356,M
5201732,2019016401837034,Mumbai,144.0,6.55,Successful ,2019,356,M
5201733,2019016401838896,Mumbai,178.0,8.09,Successful ,2019,356,M
5201734,2019016401838931,Mumbai,187.0,8.5,Successful ,2019,356,M
5201735,2019016401839017,Mumbai,196.0,8.91,Successful ,2019,356,M
5201736,2020016401956614,Mumbai,172.0,7.82,Successful ,2020,356,F
5201737,2019016401836804,Mumbai,0.0,0.0,Unsuccessful ,2019,356,M
5201738,2019016401838664,Mumbai,159.0,7.23,Successful ,2019,356,F
5201739,2019016401838834,Mumbai,163.0,7.41,Successful ,2019,356,M
5201740,2019016401838583,Mumbai,192.0,8.73,Successful ,2019,356,M
5201741,2020016401952326,Mumbai,166.0,7.55,Successful ,2020,356,M
5201742,2019016401837893,Mumbai,139.0,6.32,Successful ,2019,356,M
5201743,2019016401837483,Mumbai,154.0,7.0,Successful ,2019,356,M
5201744,2019016401839095,Mumbai,166.0,7.55,Successful ,2019,356,M
5201745,2019016402224723,Mumbai,172.0,7.82,Successful ,2019,356,M
5201746,2019016401838223,Mumbai,184.0,8.36,Successful ,2019,356,F
5201747,2018016401420034,Mumbai,0.0,0.0,RR ,2018,356,M
5201748,2019016401837637,Mumbai,169.0,7.68,Successful ,2019,356,M
5201749,2020016401956653,Mumbai,149.0,6.77,Successful ,2020,356,M
5201750,2020016402010475,Mumbai,169.0,7.68,Successful ,2020,356,F
5201751,2020016401956711,Mumbai,140.0,6.36,Successful ,2020,356,M
5201752,2019016401839114,Mumbai,178.0,8.09,Successful ,2019,356,F
5201753,2020016401952237,Mumbai,160.0,7.27,Successful ,2020,356,M
5201754,2019016401836932,Mumbai,196.0,8.91,Successful ,2019,356,F
5201755,2018016401419963,Mumbai,166.0,7.55,Successful ,2018,356,F
5201756,2018016402280641,Mumbai,159.0,7.23,Successful ,2018,356,F
5201757,2019016401839192,Mumbai,166.0,7.55,Successful ,2019,356,M
5201758,2019016401838293,Mumbai,172.0,7.82,Successful ,2019,356,M
5201759,2019016401837877,Mumbai,160.0,7.27,Successful ,2019,356,M
5201760,2019016401836971,Mumbai,181.0,8.23,Successful ,2019,356,F
5201761,2019016401839002,Mumbai,184.0,8.36,Successful ,2019,356,F
5201762,2019016401838985,Mumbai,0.0,0.0,Unsuccessful ,2019,356,M
5201763,2019016401837587,Mumbai,172.0,7.82,Successful ,2019,356,F
5015784,2019016402311221,Mumbai,180.0,8.18,Successful ,2019,366,M
5015785,2020016402106382,Mumbai,159.0,7.23,Successful ,2020,366,M
5015786,2019016402314061,Mumbai,187.0,8.5,Successful ,2019,366,M
5015787,2019016402314432,Mumbai,156.0,7.09,Successful ,2019,366,M
5015788,2019016402314486,Mumbai,165.0,7.5,Successful ,2019,366,M
5015789,2020016402107717,Mumbai,168.0,7.64,Successful ,2020,366,M
5015790,2020016402113207,Mumbai,151.0,6.86,Successful ,2020,366,M
5015791,2019016402313614,Mumbai,193.0,8.77,Successful ,2019,366,M
5015792,2018016400800893,Mumbai,0.0,0.0,Unsuccessful ,2018,366,F
5015793,2019016402314834,Mumbai,190.0,8.64,Successful ,2019,366,M
5015794,2019016402311101,Mumbai,0.0,0.0,Unsuccessful ,2019,366,F
5015795,2019016402314471,Mumbai,0.0,0.0,RR ,2019,366,F
5015796,2019016402315315,Mumbai,158.0,7.18,Successful ,2019,366,M
5015797,2019016402314397,Mumbai,144.0,6.55,Successful ,2019,366,M
5015798,2019016402315234,Mumbai,141.0,6.41,Successful ,2019,366,F
5015799,2020016402108156,Mumbai,146.0,6.64,Successful ,2020,366,M
5015800,2019016402310917,Mumbai,178.0,8.09,Successful ,2019,366,F
5015801,2019016402313525,Mumbai,158.0,7.18,Successful ,2019,366,M
5015802,2019016402311155,Mumbai,158.0,7.18,Successful ,2019,366,F
5015803,2020016402105421,Mumbai,181.0,8.23,Successful ,2020,366,M
5015804,2019016402310867,Mumbai,193.0,8.77,Successful ,2019,366,F
5015805,2019016402315033,Mumbai,0.0,0.0,Unsuccessful ,2019,366,F
5015806,2019016402314865,Mumbai,209.0,9.5,Successful ,2019,366,F
5015807,2019016402313386,Mumbai,166.0,7.55,Successful ,2019,366,M
5015808,2019016402313444,Mumbai,170.0,7.73,Successful ,2019,366,M
5015809,2020016402105444,Mumbai,202.0,9.18,Successful ,2020,366,M
5015810,2019016402313042,Mumbai,160.0,7.27,Successful ,2019,366,M
5015811,2019016402313684,Mumbai,205.0,9.32,Successful ,2019,366,M
5015812,2019016402311395,Mumbai,159.0,7.23,Successful ,2019,366,M
5015813,2019016402313703,Mumbai,156.0,7.09,Successful ,2019,366,M
5015814,2019016402311283,Mumbai,172.0,7.82,Successful ,2019,366,M
5015815,2019016402315192,Mumbai,185.0,8.41,Successful ,2019,366,M
5015816,2019016402311291,Mumbai,197.0,8.95,Successful ,2019,366,F
5015817,2019016402313096,Mumbai,199.0,9.05,Successful ,2019,366,F
5015818,2019016402314664,Mumbai,191.0,8.68,Successful ,2019,366,M
5015819,2019016402310941,Mumbai,205.0,9.32,Successful ,2019,366,F
5015820,2019016402315265,Mumbai,155.0,7.05,Successful ,2019,366,M
5015821,2019016402315203,Mumbai,181.0,8.23,Successful ,2019,366,F
5015822,2019016402313491,Mumbai,199.0,9.05,Successful ,2019,366,M
5015823,2019016402315184,Mumbai,168.0,7.64,Successful ,2019,366,F
5015824,2019016402313904,Mumbai,179.0,8.14,Successful ,2019,366,M
5015825,2019016402313204,Mumbai,187.0,8.5,Successful ,2019,366,F
5015826,2019016402314111,Mumbai,187.0,8.5,Successful ,2019,366,F
5015827,2019016402314455,Mumbai,203.0,9.23,Successful ,2019,366,F
5015828,2019016402311116,Mumbai,187.0,8.5,Successful ,2019,366,F
5015829,2019016402311205,Mumbai,198.0,9.0,Successful ,2019,366,M
5015830,2019016402311004,Mumbai,199.0,9.05,Successful ,2019,366,M
5015831,2019016402311236,Mumbai,190.0,8.64,Successful ,2019,366,M
5015832,2019016402314977,Mumbai,190.0,8.64,Successful ,2019,366,M
5015833,2019016402313556,Mumbai,175.0,7.95,Successful ,2019,366,M
5015834,2019016402314447,Mumbai,180.0,8.18,Successful ,2019,366,M
5015835,2019016402313003,Mumbai,184.0,8.36,Successful ,2019,366,M
5015836,2019016402310844,Mumbai,193.0,8.77,Successful ,2019,366,F
5015837,2019016402313011,Mumbai,178.0,8.09,Successful ,2019,366,F
5015838,2019016402311267,Mumbai,211.0,9.59,Successful ,2019,366,F
5015839,2019016402314343,Mumbai,199.0,9.05,Successful ,2019,366,M
5015840,2019016402314053,Mumbai,205.0,9.32,Successful ,2019,366,M
5015841,2019016402321985,Mumbai,175.0,7.95,Successful ,2019,366,F
5015842,2019016402311372,Mumbai,169.0,7.68,Successful ,2019,366,M
5015843,2019016402314962,Mumbai,187.0,8.5,Successful ,2019,366,F
5015844,2020016402113142,Mumbai,217.0,9.86,Successful ,2020,366,M
5015845,2019016402314134,Mumbai,179.0,8.14,Successful ,2019,366,M
5015846,2020016402105475,Mumbai,205.0,9.32,Successful ,2020,366,M
5015847,2019016402314722,Mumbai,186.0,8.45,Successful ,2019,366,M
5015848,2019016402310987,Mumbai,207.0,9.41,Successful ,2019,366,F
5015849,2019016402313467,Mumbai,181.0,8.23,Successful ,2019,366,M
5015850,2019016402313107,Mumbai,193.0,8.77,Successful ,2019,366,F
5015851,2019016402313757,Mumbai,201.0,9.14,Successful ,2019,366,F
5015852,2019016402313475,Mumbai,205.0,9.32,Successful ,2019,366,F
5015853,2019016402311066,Mumbai,201.0,9.14,Successful ,2019,366,F
5015854,2019016402313452,Mumbai,163.0,7.41,Successful ,2019,366,M
5015855,2019016402310972,Mumbai,205.0,9.32,Successful ,2019,366,M
5015856,2019016402311341,Mumbai,214.0,9.73,Successful ,2019,366,M
5015857,2019016402310902,Mumbai,161.0,7.32,Successful ,2019,366,M
5015858,2019016402311414,Mumbai,205.0,9.32,Successful ,2019,366,M
5015859,2019016402310925,Mumbai,190.0,8.64,Successful ,2019,366,F
5015860,2019016402314583,Mumbai,211.0,9.59,Successful ,2019,366,F
5015861,2019016402315404,Mumbai,192.0,8.73,Successful ,2019,366,F
5015862,2019016402310836,Mumbai,175.0,7.95,Successful ,2019,366,M
5015863,2019016402314215,Mumbai,172.0,7.82,Successful ,2019,366,M
5015864,2019016402311171,Mumbai,182.0,8.27,Successful ,2019,366,M
5015865,2019016402311317,Mumbai,210.0,9.55,Successful ,2019,366,F
5015866,2019016402313587,Mumbai,196.0,8.91,Successful ,2019,366,F
5015867,2019016402315106,Mumbai,146.0,6.64,Successful ,2019,366,M
5015868,2019016402313177,Mumbai,183.0,8.32,Successful ,2019,366,M
5015869,2019016402311132,Mumbai,201.0,9.14,Successful ,2019,366,F
5015870,2019016402311124,Mumbai,184.0,8.36,Successful ,2019,366,F
5015871,2019016402311027,Mumbai,193.0,8.77,Successful ,2019,366,F
5015872,2019016402313807,Mumbai,184.0,8.36,Successful ,2019,366,M
5015873,2019016402313854,Mumbai,161.0,7.32,Successful ,2019,366,M
5015874,2019016402314915,Mumbai,177.0,8.05,Successful ,2019,366,F
5015875,2019016402315273,Mumbai,174.0,7.91,Successful ,2019,366,M
5015876,2019016402313065,Mumbai,175.0,7.95,Successful ,2019,366,M
5015877,2020016402113181,Mumbai,139.0,6.32,Successful ,2020,366,F
5015878,2019016402313533,Mumbai,172.0,7.82,Successful ,2019,366,M
5015879,2019016402310875,Mumbai,173.0,7.86,Successful ,2019,366,M
5015880,2019016402314737,Mumbai,184.0,8.36,Successful ,2019,366,M
5015881,2019016402311252,Mumbai,140.0,6.36,Successful ,2019,366,M
5015882,2019016402313541,Mumbai,171.0,7.77,Successful ,2019,366,M
5015883,2019016402310933,Mumbai,203.0,9.23,Successful ,2019,366,F
5015884,2019016402311275,Mumbai,205.0,9.32,Successful ,2019,366,F
5015885,2019016402311422,Mumbai,207.0,9.41,Successful ,2019,366,M
5015886,2019016402313653,Mumbai,188.0,8.55,Successful ,2019,366,F
5015887,2019016402310956,Mumbai,198.0,9.0,Successful ,2019,366,F
5015888,2019016402313123,Mumbai,181.0,8.23,Successful ,2019,366,F
5015889,2018016401697164,Mumbai,143.0,6.5,Successful ,2018,366,M
5015890,2019016402311194,Mumbai,196.0,8.91,Successful ,2019,366,M
5015891,2019016402313951,Mumbai,176.0,8.0,Successful ,2019,366,M
5015892,2019016402315226,Mumbai,151.0,6.86,Successful ,2019,366,M
5015893,2019016402313347,Mumbai,159.0,7.23,Successful ,2019,366,M
5015894,2019016402311012,Mumbai,186.0,8.45,Successful ,2019,366,F
5015895,2019016402313517,Mumbai,169.0,7.68,Successful ,2019,366,M
5015896,2019016402311163,Mumbai,171.0,7.77,Successful ,2019,366,M
5015897,2019016402312994,Mumbai,176.0,8.0,Successful ,2019,366,M
5015898,2020016402105491,Mumbai,169.0,7.68,Successful ,2020,366,M
5015899,2019016402311356,Mumbai,164.0,7.45,Successful ,2019,366,M
5015900,2019016402312634,Mumbai,165.0,7.5,Successful ,2019,366,M
5015901,2019016402315296,Mumbai,208.0,9.45,Successful ,2019,366,F
5015902,2019016402310964,Mumbai,187.0,8.5,Successful ,2019,366,M
5015903,2019016402310883,Mumbai,188.0,8.55,Successful ,2019,366,M
5015904,2019016402313831,Mumbai,153.0,6.95,Successful ,2019,366,M
5015905,2019016402314896,Mumbai,0.0,0.0,RR ,2019,366,M
5015906,2019016402311051,Mumbai,200.0,9.09,Successful ,2019,366,F
5015907,2020016402113165,Mumbai,155.0,7.05,Successful ,2020,366,M
5015908,2019016402315153,Mumbai,199.0,9.05,Successful ,2019,366,F
5015909,2020016402105405,Mumbai,191.0,8.68,Successful ,2020,366,F
5015910,2019016402311035,Mumbai,208.0,9.45,Successful ,2019,366,F
5015911,2019016402310891,Mumbai,187.0,8.5,Successful ,2019,366,F
5015912,2019016402314575,Mumbai,196.0,8.91,Successful ,2019,366,M
5015913,2019016402314776,Mumbai,185.0,8.41,Successful ,2019,366,M
5015914,2020016402105606,Mumbai,184.0,8.36,Successful ,2020,366,M
5015915,2019016402311364,Mumbai,195.0,8.86,Successful ,2019,366,F
5015916,2019016402314985,Mumbai,184.0,8.36,Successful ,2019,366,M
5015917,2019016402314641,Mumbai,174.0,7.91,Successful ,2019,366,M
5015918,2019016402313564,Mumbai,205.0,9.32,Successful ,2019,366,F
5015919,2019016402313371,Mumbai,199.0,9.05,Successful ,2019,366,F
5015920,2019016402315137,Mumbai,208.0,9.45,Successful ,2019,366,M
5015921,2019016402313297,Mumbai,208.0,9.45,Successful ,2019,366,M
5015922,2019016402315145,Mumbai,190.0,8.64,Successful ,2019,366,F
5015923,2019016402311147,Mumbai,205.0,9.32,Successful ,2019,366,M
5015924,2020016402105452,Mumbai,193.0,8.77,Successful ,2020,366,F
5015925,2019016402315122,Mumbai,214.0,9.73,Successful ,2019,366,M
5015926,2019016402311325,Mumbai,156.0,7.09,Successful ,2019,366,M
5015927,2019016402314181,Mumbai,201.0,9.14,Successful ,2019,366,M
5015928,2019016402311213,Mumbai,186.0,8.45,Successful ,2019,366,M
5015929,2019016402313637,Mumbai,159.0,7.23,Successful ,2019,366,M
5015930,2019016402312971,Mumbai,208.0,9.45,Successful ,2019,366,M
5015931,2019016402313595,Mumbai,192.0,8.73,Successful ,2019,366,F
5015932,2019016402315176,Mumbai,203.0,9.23,Successful ,2019,366,F
5015933,2019016402314142,Mumbai,184.0,8.36,Successful ,2019,366,M
5015934,2019016402313421,Mumbai,180.0,8.18,Successful ,2019,366,M
5015935,2019016402313274,Mumbai,186.0,8.45,Successful ,2019,366,M
5015936,2019016402311387,Mumbai,169.0,7.68,Successful ,2019,366,M
5015937,2019016402311406,Mumbai,187.0,8.5,Successful ,2019,366,M
5015938,2019016402311082,Mumbai,217.0,9.86,Successful ,2019,366,F
5015939,2019016402313115,Mumbai,158.0,7.18,Successful ,2019,366,M
5015940,2019016402313483,Mumbai,196.0,8.91,Successful ,2019,366,M
5015941,2019016402313193,Mumbai,194.0,8.82,Successful ,2019,366,M
5015942,2019016402311097,Mumbai,187.0,8.5,Successful ,2019,366,M
5015943,2019016402315257,Mumbai,172.0,7.82,Successful ,2019,366,F
5015944,2019016402314784,Mumbai,180.0,8.18,Successful ,2019,366,M
5015945,2019016402315087,Mumbai,181.0,8.23,Successful ,2019,366,M
5015946,2019016402311186,Mumbai,178.0,8.09,Successful ,2019,366,M
5015947,2019016402313131,Mumbai,214.0,9.73,Successful ,2019,366,F
5015948,2019016402313927,Mumbai,199.0,9.05,Successful ,2019,366,M
5015949,2019016402311043,Mumbai,145.0,6.59,Successful ,2019,366,M
5015950,2019016402315281,Mumbai,161.0,7.32,Successful ,2019,366,F
5015951,2019016402313912,Mumbai,187.0,8.5,Successful ,2019,366,M
5015952,2019016402314842,Mumbai,193.0,8.77,Successful ,2019,366,F
5015953,2019016402313324,Mumbai,140.0,6.36,Successful ,2019,366,F
5015954,2019016402315242,Mumbai,175.0,7.95,Successful ,2019,366,F
5015955,2019016402311074,Mumbai,166.0,7.55,Successful ,2019,366,M
5015956,2019016402314092,Mumbai,199.0,9.05,Successful ,2019,366,F
5015957,2019016402311244,Mumbai,177.0,8.05,Successful ,2019,366,F
5015958,2020016402112394,Mumbai,196.0,8.91,Successful ,2020,366,F
5015959,2019016402314157,Mumbai,184.0,8.36,Successful ,2019,366,M
5015960,2019016402310995,Mumbai,208.0,9.45,Successful ,2019,366,F
5015961,2019016402313081,Mumbai,191.0,8.68,Successful ,2019,366,M
5015962,2019016402313502,Mumbai,201.0,9.14,Successful ,2019,366,F
5015963,2019016402313997,Mumbai,193.0,8.77,Successful ,2019,366,F
5015964,2019016402315466,Mumbai,204.0,9.27,Successful ,2019,366,M
5015965,2019016402314312,Mumbai,182.0,8.27,Successful ,2019,366,F
5015966,2019016402313073,Mumbai,142.0,6.45,Successful ,2019,366,M
5015967,2019016402314706,Mumbai,139.0,6.32,Successful ,2019,366,M
5015968,2020016402113262,Mumbai,133.0,6.05,Successful ,2020,366,F
5015969,2019016402311333,Mumbai,179.0,8.14,Successful ,2019,366,M
5015970,2020016402106521,Mumbai,0.0,0.0,Unsuccessful ,2020,366,M
5015971,2019016402313862,Mumbai,178.0,8.09,Successful ,2019,366,M
5015972,2019016402313227,Mumbai,190.0,8.64,Successful ,2019,366,F
5015973,2019016402312986,Mumbai,182.0,8.27,Successful ,2019,366,M
5015974,2019016402315072,Mumbai,167.0,7.59,Successful ,2019,366,F
5015975,2019016402313355,Mumbai,169.0,7.68,Successful ,2019,366,M
5015976,2019016402310852,Mumbai,180.0,8.18,Successful ,2019,366,F
5015977,2020016402105541,Mumbai,171.0,7.77,Successful ,2020,366,M
5015978,2020016402105436,Mumbai,193.0,8.77,Successful ,2020,366,M
5015979,2019016402313266,Mumbai,189.0,8.59,Successful ,2019,366,F
5015980,2019016402313815,Mumbai,185.0,8.41,Successful ,2019,366,M
5015981,2019016402315307,Mumbai,180.0,8.18,Successful ,2019,366,M
5015982,2019016402311302,Mumbai,0.0,0.0,Unsuccessful ,2019,366,M
5015983,2020016402106447,Mumbai,200.0,9.09,Successful ,2020,366,M
5015984,2019016402313436,Mumbai,189.0,8.59,Successful ,2019,366,M
5015985,2019016402315095,Mumbai,196.0,8.91,Successful ,2019,366,M
5015986,2019016402313692,Mumbai,211.0,9.59,Successful ,2019,366,F
5019747,2019016402313026,Mumbai,0.0,0.0,Unsuccessful ,2019,366,M
5019748,2019016402315161,Mumbai,217.0,9.86,Successful ,2019,366,F
5015987,2019016402252553,Mumbai,0.0,0.0,RR ,2019,368,M
5015988,2019016402252746,Mumbai,0.0,0.0,RR ,2019,368,M
5015989,2019016402252522,Mumbai,0.0,0.0,RR ,2019,368,M
5015990,2019016402252777,Mumbai,0.0,0.0,RR ,2019,368,F
5015991,2019016402252843,Mumbai,0.0,0.0,RR ,2019,368,M
5015992,2019016402252707,Mumbai,0.0,0.0,RR ,2019,368,M
5015993,2019016402252835,Mumbai,0.0,0.0,RR ,2019,368,M
5015994,2018016400215514,Mumbai,0.0,0.0,RR ,2018,368,M
5015995,2019016402252634,Mumbai,0.0,0.0,RR ,2019,368,F
5015996,2019016402252603,Mumbai,0.0,0.0,RR ,2019,368,M
5015997,2019016402252986,Mumbai,0.0,0.0,RR ,2019,368,M
5015998,2019016402252472,Mumbai,0.0,0.0,RR ,2019,368,M
5015999,2019016402252963,Mumbai,0.0,0.0,RR ,2019,368,M
5016000,2019016402252901,Mumbai,0.0,0.0,RR ,2019,368,M
5016001,2019016402252537,Mumbai,0.0,0.0,RR ,2019,368,M
5016002,2019016402252882,Mumbai,0.0,0.0,RR ,2019,368,M
5016003,2019016402252441,Mumbai,0.0,0.0,RR ,2019,368,M
5016004,2019016402252754,Mumbai,0.0,0.0,RR ,2019,368,M
5016005,2018016400215723,Mumbai,0.0,0.0,RR ,2018,368,M
5016006,2019016402252762,Mumbai,0.0,0.0,RR ,2019,368,F
5016007,2019016402252731,Mumbai,0.0,0.0,RR ,2019,368,M
5016008,2019016402252827,Mumbai,0.0,0.0,RR ,2019,368,M
5016009,2019016402252456,Mumbai,0.0,0.0,RR ,2019,368,F
5016010,2019016402252561,Mumbai,0.0,0.0,RR ,2019,368,F
5016011,2019016402252696,Mumbai,0.0,0.0,RR ,2019,368,M
5016012,2019016402252506,Mumbai,0.0,0.0,RR ,2019,368,M
5016013,2019016402252584,Mumbai,0.0,0.0,RR ,2019,368,F
5016014,2019016402252514,Mumbai,0.0,0.0,RR ,2019,368,M
5016015,2019016401624283,Mumbai,0.0,0.0,RR ,2019,368,M
5016016,2019016402252932,Mumbai,0.0,0.0,RR ,2019,368,M
5016017,2019016402252665,Mumbai,0.0,0.0,RR ,2019,368,M
5016018,2019016402252924,Mumbai,0.0,0.0,RR ,2019,368,M
5016019,2019016402252785,Mumbai,0.0,0.0,RR ,2019,368,F
5016020,2019016402252851,Mumbai,0.0,0.0,RR ,2019,368,M
5016021,2019016402252723,Mumbai,0.0,0.0,RR ,2019,368,M
5016022,2019016402252955,Mumbai,0.0,0.0,RR ,2019,368,M
5016023,2019016402252425,Mumbai,0.0,0.0,RR ,2019,368,M
5016024,2019016402252916,Mumbai,0.0,0.0,RR ,2019,368,F
5016025,2019016402252681,Mumbai,0.0,0.0,RR ,2019,368,F
5016026,2019016402252657,Mumbai,0.0,0.0,RR ,2019,368,M
5016027,2019016402252545,Mumbai,0.0,0.0,RR ,2019,368,M
5016028,2019016402252464,Mumbai,0.0,0.0,RR ,2019,368,M
5016029,2019016402252592,Mumbai,0.0,0.0,RR ,2019,368,M
5016030,2019016402252866,Mumbai,0.0,0.0,RR ,2019,368,F
5016031,2019016402252487,Mumbai,0.0,0.0,RR ,2019,368,M
5016032,2019016402252897,Mumbai,0.0,0.0,RR ,2019,368,F
5016033,2019016402252642,Mumbai,0.0,0.0,RR ,2019,368,M
5016034,2019016402252804,Mumbai,0.0,0.0,RR ,2019,368,F
5016035,2019016402252947,Mumbai,0.0,0.0,RR ,2019,368,M
5016036,2019016402252971,Mumbai,0.0,0.0,RR ,2019,368,M
5016037,2019016402252626,Mumbai,0.0,0.0,RR ,2019,368,M
5016038,2019016402252495,Mumbai,0.0,0.0,RR ,2019,368,F
5016039,2019016402252793,Mumbai,0.0,0.0,RR ,2019,368,F
5016040,2018016401134383,Mumbai,0.0,0.0,RR ,2018,368,F
5016041,2019016402252433,Mumbai,0.0,0.0,RR ,2019,368,F
5235278,2018016400215592,,0.0,0.0,RR ,2018,368,M
5201765,2017016402238102,Panvel,0.0,0.0,Unsuccessful ,2017,385,M
5201766,2019016402257771,Panvel,154.0,7.0,Successful ,2019,385,F
5201767,2019016402257233,Panvel,163.0,7.41,Successful ,2019,385,F
5201768,2019016402257225,Panvel,199.0,9.05,Successful ,2019,385,F
5201769,2020016402142613,Panvel,180.0,8.18,Successful ,2020,385,M
5201770,2019016402256752,Panvel,195.0,8.86,Successful ,2019,385,M
5201771,2019016402257593,Panvel,138.0,6.27,Successful ,2019,385,F
5201772,2017016402238133,Panvel,0.0,0.0,Unsuccessful ,2017,385,M
5201773,2020016402142822,Panvel,173.0,7.86,Successful ,2020,385,F
5201774,2018016401861704,Panvel,0.0,0.0,Unsuccessful ,2018,385,M
5201775,2020016402142033,Panvel,193.0,8.77,Successful ,2020,385,M
5201776,2019016402256906,Panvel,153.0,6.95,Successful ,2019,385,M
5201777,2019016402257496,Panvel,186.0,8.45,Successful ,2019,385,F
5201778,2020016402145213,Panvel,166.0,7.55,Successful ,2020,385,F
5201779,2018016401860651,Panvel,145.0,6.59,Successful ,2018,385,M
5201780,2019016402256527,Panvel,200.0,9.09,Successful ,2019,385,F
5201781,2018016401861325,Panvel,132.0,6.0,Successful ,2018,385,M
5201782,2019016402257716,Panvel,141.0,6.41,Successful ,2019,385,M
5201783,2018016401862127,Panvel,0.0,0.0,Unsuccessful ,2018,385,M
5201784,2019016402256721,Panvel,179.0,8.14,Successful ,2019,385,M
5201785,2020016402145596,Panvel,144.0,6.55,Successful ,2020,385,M
5201786,2019016402256671,Panvel,166.0,7.55,Successful ,2019,385,F
5201787,2019016402257697,Panvel,177.0,8.05,Successful ,2019,385,F
5201788,2018016401861847,Panvel,132.0,6.0,Successful ,2018,385,M
5201789,2019016402257643,Panvel,141.0,6.41,Successful ,2019,385,M
5201790,2019016402256686,Panvel,208.0,9.45,Successful ,2019,385,F
5201791,2020016402142926,Panvel,0.0,0.0,Unsuccessful ,2020,385,F
5201792,2019016402256895,Panvel,163.0,7.41,Successful ,2019,385,M
5201793,2020016402138944,Panvel,0.0,0.0,Unsuccessful ,2020,385,F
5201794,2019016402257732,Panvel,138.0,6.27,Successful ,2019,385,M
5201795,2019016402257113,Panvel,175.0,7.95,Successful ,2019,385,M
5201796,2019016402256566,Panvel,146.0,6.64,Successful ,2019,385,M
5201797,2019016402256535,Panvel,193.0,8.77,Successful ,2019,385,M
5201798,2020016402142911,Panvel,0.0,0.0,Unsuccessful ,2020,385,F
5201799,2019016402256431,Panvel,162.0,7.36,Successful ,2019,385,M
5201800,2019016402257055,Panvel,190.0,8.64,Successful ,2019,385,F
5201801,2019016402257353,Panvel,169.0,7.68,Successful ,2019,385,M
5201802,2019016402256945,Panvel,146.0,6.64,Successful ,2019,385,M
5201803,2020016402142683,Panvel,0.0,0.0,Unsuccessful ,2020,385,F
5201804,2020016402143021,Panvel,174.0,7.91,Successful ,2020,385,F
5201805,2019016402256817,Panvel,0.0,0.0,Unsuccessful ,2019,385,M
5201806,2019016402257202,Panvel,140.0,6.36,Successful ,2019,385,F
5201807,2019016402256493,Panvel,148.0,6.73,Successful ,2019,385,M
5201808,2019016402256396,Panvel,141.0,6.41,Successful ,2019,385,M
